"CurSim","missingprop_autocor","pred","se","date","GPP","missingness","type","run_no"
4,"propMissAct_0.08_autoCorr_0.33",-0.291861912042483,0.757525790744526,2013-12-31,-0.652720778025846,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.145972377393602,0.813959250623904,2014-01-01,-0.872731313808156,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.0766997318361094,0.82233526733415,2014-01-02,-0.997448953547836,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.0951593012438369,0.823622130890567,2014-01-03,-0.912356553248374,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.0732547725321804,0.823820828566513,2014-01-04,-0.361659689863875,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.404305604563206,0.823851531820088,2014-01-05,-3.30224602916798,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.689676037788363,0.823856276720895,2014-01-06,-0.86609053874533,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.0187952260014347,0.823857010014294,2014-01-07,-0.998382953950892,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.386874582243345,0.823857123340313,2014-01-08,-0.601968992353489,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.0650552172834159,0.823857140854166,2014-01-09,-1.19126607859835,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.299262676579962,0.823857143560826,2014-01-10,NA,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.702315110760551,0.823857143979124,2014-01-11,-1.13473333794051,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.528096593468619,0.823857144043769,2014-01-12,-1.76754450934185,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.569571741632037,0.82385714405376,2014-01-13,-1.91196882145039,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.504034077493293,0.823857144055304,2014-01-14,-0.917062823440351,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.507078270616143,0.823857144055543,2014-01-15,-1.0014252217898,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.380874352467966,0.82385714405558,2014-01-16,-3.17494095492972,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.46313898804465,0.823857144055585,2014-01-17,-1.2905292292941,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.38368817177903,0.823857144055586,2014-01-18,-0.762845265347764,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.44547202884707,0.823857144055586,2014-01-19,-1.20169320016488,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",-0.412634038906873,0.823857144055586,2014-01-20,-1.22414312793057,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.169826073487157,0.823857144055586,2014-01-21,-0.85549725940086,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.612204680560398,0.823857144055586,2014-01-22,-0.341929286950213,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33",0.111212018738419,0.823857144055586,2014-01-23,-2.08749925690214,"MAR","dropNA_simple",4
