"CurSim","missingprop_autocor","pred","se","date","GPP","missingness","type","run_no"
147,"propMissAct_0.21_autoCorr_0.76",-0.293855775888047,0.758095968968213,2013-12-31,-0.652720778025846,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",0.119291189514187,0.814094149855566,2014-01-01,-0.872731313808156,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",0.0573923166634396,0.822335762123434,2014-01-02,-0.997448953547836,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",0.0834754367312354,0.823591010549573,2014-01-03,-0.912356553248374,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",0.0536520348520608,0.823783133194359,2014-01-04,-0.361659689863875,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.392013964285254,0.823812560517646,2014-01-05,-3.30224602916798,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.671619388597792,0.823817068398431,2014-01-06,-0.86609053874533,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",0.00988301607995562,0.823817758958812,2014-01-07,-0.998382953950892,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",0.360900103902317,0.823817864745753,2014-01-08,-0.601968992353489,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.0626098659995653,0.82381788095126,2014-01-09,-1.19126607859835,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.294416783515511,0.823817883433783,2014-01-10,NA,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.685719862016349,0.82381788381408,2014-01-11,-1.13473333794051,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.503410340783067,0.823817883872338,2014-01-12,-1.76754450934185,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.551137174844017,0.823817883881263,2014-01-13,-1.91196882145039,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.482298617626014,0.82381788388263,2014-01-14,-0.917062823440351,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.485451194658066,0.823817883882839,2014-01-15,-1.0014252217898,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.368966576951689,0.823817883882871,2014-01-16,-3.17494095492972,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.45309455191418,0.823817883882876,2014-01-17,-1.2905292292941,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.37081582683075,0.823817883882877,2014-01-18,-0.762845265347764,"MAR","dropNA_simple",147
147,"propMissAct_0.21_autoCorr_0.76",-0.438017754380383,0.823817883882877,2014-01-19,-1.20169320016488,"MAR","dropNA_simple",147
