"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"1",1,"y","ar1",0.775360233909814,0.0424284971833748,"MAR","dropNA_simple",1
"2",1,"y","intercept",1.99392053210494,0.272632690250681,"MAR","dropNA_simple",1
"3",1,"y","xreg1",0.00627513977839715,0.000706505259503746,"MAR","dropNA_simple",1
"4",1,"y","xreg2",-0.131362749021548,0.0248946735402076,"MAR","dropNA_simple",1
"5",1,"y","sigma",0.363467705569419,NA,"MAR","dropNA_simple",1
"6",1,"propMissAct_0.04","ar1",0.73999731948526,0.0465875432003864,"MAR","dropNA_simple",1
"7",1,"propMissAct_0.04","intercept",1.88639784808508,0.250063110487703,"MAR","dropNA_simple",1
"8",1,"propMissAct_0.04","xreg1",0.00677044764597458,0.000700626320798031,"MAR","dropNA_simple",1
"9",1,"propMissAct_0.04","xreg2",-0.135326833786066,0.0232869741222328,"MAR","dropNA_simple",1
"10",1,"propMissAct_0.04","sigma",0.340155776604733,NA,"MAR","dropNA_simple",1
"11",1,"propMissAct_0.09","ar1",0.741556263821656,0.048134355814028,"MAR","dropNA_simple",1
"12",1,"propMissAct_0.09","intercept",1.86232463640464,0.245502468979585,"MAR","dropNA_simple",1
"13",1,"propMissAct_0.09","xreg1",0.0058421367947149,0.000695484332159673,"MAR","dropNA_simple",1
"14",1,"propMissAct_0.09","xreg2",-0.126483873337037,0.0235081249185958,"MAR","dropNA_simple",1
"15",1,"propMissAct_0.09","sigma",0.321461722619828,NA,"MAR","dropNA_simple",1
"16",1,"propMissAct_0.12","ar1",0.783081018931147,0.043980623585647,"MAR","dropNA_simple",1
"17",1,"propMissAct_0.12","intercept",1.78306387073655,0.285855240126673,"MAR","dropNA_simple",1
"18",1,"propMissAct_0.12","xreg1",0.00512693702468143,0.000640840220984596,"MAR","dropNA_simple",1
"19",1,"propMissAct_0.12","xreg2",-0.112587611530653,0.0276701589305141,"MAR","dropNA_simple",1
"20",1,"propMissAct_0.12","sigma",0.277557485309898,NA,"MAR","dropNA_simple",1
"21",1,"propMissAct_0.17","ar1",0.789625125795322,0.0440465613766916,"MAR","dropNA_simple",1
"22",1,"propMissAct_0.17","intercept",1.69891850201074,0.275236118156648,"MAR","dropNA_simple",1
"23",1,"propMissAct_0.17","xreg1",0.00457522005546864,0.000607585634013469,"MAR","dropNA_simple",1
"24",1,"propMissAct_0.17","xreg2",-0.101910049407228,0.0259372993545821,"MAR","dropNA_simple",1
"25",1,"propMissAct_0.17","sigma",0.243649605567027,NA,"MAR","dropNA_simple",1
"26",1,"propMissAct_0.23","ar1",0.790811883870941,0.0445529961325718,"MAR","dropNA_simple",1
"27",1,"propMissAct_0.23","intercept",1.74627377689544,0.277354335446845,"MAR","dropNA_simple",1
"28",1,"propMissAct_0.23","xreg1",0.00421223558594006,0.000581797147753852,"MAR","dropNA_simple",1
"29",1,"propMissAct_0.23","xreg2",-0.104378899391392,0.0272606066483969,"MAR","dropNA_simple",1
"30",1,"propMissAct_0.23","sigma",0.22246137950155,NA,"MAR","dropNA_simple",1
"31",1,"propMissAct_0.34","ar1",0.730544406845865,0.0556201742669847,"MAR","dropNA_simple",1
"32",1,"propMissAct_0.34","intercept",1.79016106594638,0.294972118849208,"MAR","dropNA_simple",1
"33",1,"propMissAct_0.34","xreg1",0.00417613603840364,0.000669115402454528,"MAR","dropNA_simple",1
"34",1,"propMissAct_0.34","xreg2",-0.105370502387796,0.031211629916575,"MAR","dropNA_simple",1
"35",1,"propMissAct_0.34","sigma",0.237268268845644,NA,"MAR","dropNA_simple",1
"36",1,"propMissAct_0.5","ar1",0.552284136733898,0.0798951867457363,"MAR","dropNA_simple",1
"37",1,"propMissAct_0.5","intercept",2.16316692636706,0.245742370593557,"MAR","dropNA_simple",1
"38",1,"propMissAct_0.5","xreg1",0.00542538650022532,0.000778659342319252,"MAR","dropNA_simple",1
"39",1,"propMissAct_0.5","xreg2",-0.167791700855304,0.0292287269557356,"MAR","dropNA_simple",1
"40",1,"propMissAct_0.5","sigma",0.204429606464359,NA,"MAR","dropNA_simple",1
"41",1,"propMissAct_0.61","ar1",0.490038683735871,0.089494125433368,"MAR","dropNA_simple",1
"42",1,"propMissAct_0.61","intercept",2.0479373304915,0.278356751746216,"MAR","dropNA_simple",1
"43",1,"propMissAct_0.61","xreg1",0.00492476797607915,0.000813010842081032,"MAR","dropNA_simple",1
"44",1,"propMissAct_0.61","xreg2",-0.140011045751995,0.03546413066356,"MAR","dropNA_simple",1
"45",1,"propMissAct_0.61","sigma",0.18519567951018,NA,"MAR","dropNA_simple",1
"46",1,"propMissAct_0.66","ar1",0.470849108052281,0.104169128041538,"MAR","dropNA_simple",1
"47",1,"propMissAct_0.66","intercept",2.04214582245672,0.279384195159664,"MAR","dropNA_simple",1
"48",1,"propMissAct_0.66","xreg1",0.00389082972551644,0.000834081204056238,"MAR","dropNA_simple",1
"49",1,"propMissAct_0.66","xreg2",-0.121734135871559,0.0350276508086726,"MAR","dropNA_simple",1
"50",1,"propMissAct_0.66","sigma",0.158028956377634,NA,"MAR","dropNA_simple",1
"51",1,"propMissAct_0.69","ar1",0.330981613454648,0.111494030361586,"MAR","dropNA_simple",1
"52",1,"propMissAct_0.69","intercept",1.82211939916947,0.235937013195056,"MAR","dropNA_simple",1
"53",1,"propMissAct_0.69","xreg1",0.00428351169374759,0.000805457244644205,"MAR","dropNA_simple",1
"54",1,"propMissAct_0.69","xreg2",-0.0976010361350655,0.0315207230578675,"MAR","dropNA_simple",1
"55",1,"propMissAct_0.69","sigma",0.147882810145769,NA,"MAR","dropNA_simple",1
"56",1,"propMissAct_0.71","ar1",0.331264969831075,0.10371624739617,"MAR","dropNA_simple",1
"57",1,"propMissAct_0.71","intercept",1.92341178396589,0.230353188602525,"MAR","dropNA_simple",1
"58",1,"propMissAct_0.71","xreg1",0.00475898970232562,0.000720143553767233,"MAR","dropNA_simple",1
"59",1,"propMissAct_0.71","xreg2",-0.120285454057752,0.0325129388115886,"MAR","dropNA_simple",1
"60",1,"propMissAct_0.71","sigma",0.122734047071449,NA,"MAR","dropNA_simple",1
"61",1,"propMissAct_0.73","ar1",0.24693043936261,0.109691942964026,"MAR","dropNA_simple",1
"62",1,"propMissAct_0.73","intercept",1.79814970535836,0.209261787265863,"MAR","dropNA_simple",1
"63",1,"propMissAct_0.73","xreg1",0.00459987560347109,0.000659233239145116,"MAR","dropNA_simple",1
"64",1,"propMissAct_0.73","xreg2",-0.101860162342721,0.0300097124362534,"MAR","dropNA_simple",1
"65",1,"propMissAct_0.73","sigma",0.106806111515674,NA,"MAR","dropNA_simple",1
"66",1,"propMissAct_0.75","ar1",0.117069342843645,0.114358655675334,"MAR","dropNA_simple",1
"67",1,"propMissAct_0.75","intercept",1.63484620658052,0.177259137050193,"MAR","dropNA_simple",1
"68",1,"propMissAct_0.75","xreg1",0.00423721795344352,0.000648648376715162,"MAR","dropNA_simple",1
"69",1,"propMissAct_0.75","xreg2",-0.0756462743426158,0.0266843524036854,"MAR","dropNA_simple",1
"70",1,"propMissAct_0.75","sigma",0.0949540454675746,NA,"MAR","dropNA_simple",1
"71",1,"propMissAct_0.78","ar1",0.121689026581481,0.118394718765793,"MAR","dropNA_simple",1
"72",1,"propMissAct_0.78","intercept",1.56994860171402,0.172726107858524,"MAR","dropNA_simple",1
